# Constructed from biom file																																																																																																																
#OTU ID	RSG.MB4	UNKG.MB2	LSG.MB6	LSG.MB9	EPRC.MB16	UNKG.MB31	LSG.MB20	LSG.MB7	LSG.MB4	UNKG.MB21	LSG.MB14	UNKG.MB32	EPRC.MB13	RSG.MB2	UNKG.MB6	LSG.MB10	UNKG.MB8	UNKG.MB14	LSG.MB16	LSG.MB8	EPRC.MB9	RSG.MB1	LSG.MB12	LSG.MB15	UNKG.MB35	UNKG.MB17	LSG.MB2	RSG.MB6	PZ.MB7	UNKG.MB27	UNKG.MB4	RSG.MB3	LSG.MB1	UNKG.MB28	EPRC.MB2	SZ.MB8	SZ.MB7	EPRC.MB14	PZ.MB4	UNKG.MB38	SZ.MB11	PZ.MB1	UNKG.MB25	EPRC.MB15	SZ.MB6	EPRC.MB17	EPRC.MB18	EPRC.MB8	EPRC.MB12	EPRC.MB4	PZ.MB9	UNKG.MB11	SZ.MB3	PZ.MB10	PZ.MB2	UNKG.MB12	UNKG.MB5	PZ.MB3	PZ.MB12	UNKG.MB18	EPRC.MB11	SZ.MB5	EPRC.MB3	UNKG.MB36	UNKG.MB37	UNKG.MB33	UNKG.MB15	SZ.MB1	UNKG.MB26	EPRC.MB7	LSG.MB5	UNKG.MB23	UNKG.MB1	UNKG.MB16	UNKG.MB34	RSG.MB5	UNKG.MB20	UNKG.MB19	UNKG.MB10	UNKG.MB24	PZ.MB6	LFG.MB1	UNKG.MB13	EPRC.MB1	LSG.MB17	PZ.MB8	LSG.MB11	EPRC.MB10	UNKG.MB7	PZ.MB5	LSG.MB3	SZ.MB14	PZ.MB11	EPRC.MB5	SZ.MB13	UNKG.MB30	UNKG.MB3	RSG.MB7	LSG.MB19	SZ.MB2	LSG.MB18	UNKG.MB9	UNKG.MB22	LSG.MB13	UNKG.MB29	SZ.MB4	SZ.MB10	SZ.MB15	SZ.MB12	EPRC.MB6	SZ.MB9	KEGG_Pathways
"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"	2	10	16	10	79	19	11	42	45	41	30	11	12	1	8	12	4	3	24	10	16	6	26	18	24	29	11	12	36	14	2	13	18	2	3	17	8	22	56	7	9	4	12	8	2	19	12	76	10	32	6	2	18	18	12	4	36	26	6	8	15	1	14	14	9	11	10	0	13	29	14	12	2	14	10	2	20	9	10	12	8	21	1	6	22	9	37	18	9	4	15	17	28	8	10	18	1	2	12	5	15	2	13	21	12	16	6	6	17	34	12	"Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation"
ABC transporters	1799899	2179847	2643948	2376785	1413270	1441935	1487323	2046804	2038183	1794062	1677406	2139842	1499218	2131823	2088212	1830678	2017421	1748997	1978255	2127936	1666009	1747483	2165472	1653255	1761498	2098660	2192552	1983565	1659717	1687409	1919548	2107487	1531469	1979701	1853268	1822569	1834584	1692657	1426175	1571653	1706675	2407527	2130292	1522239	1769689	1588852	1740429	1183059	1441844	2345426	1710674	1331910	1694437	1361663	1387915	2213736	2466329	1460273	1394135	1957542	1472175	1862512	1645641	1590165	2226663	1557290	1669381	1426524	1325636	1942764	1604868	1145627	1785918	2162187	1674391	1411520	1333724	1674242	1416193	1360015	1256089	1867246	1800911	1883877	1994482	1415495	2363379	1997848	1798525	1615082	1496992	1743728	1457219	1852687	2243760	1800060	2327450	1743818	1982214	1674720	1701916	1609794	1711709	1868560	1600760	1932338	1631875	929591	1220089	1475466	1440060	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	29445	36500	44324	35038	18786	24240	27717	29602	35542	29953	26631	35744	22642	34930	32438	26744	35951	26286	34190	29978	15141	33830	16683	29112	30410	33607	34894	39066	36736	31252	33655	32933	27629	35118	21143	41754	22516	15850	31372	26152	20360	38969	32176	15859	35042	18989	24616	25459	21190	30126	37265	22923	35201	33561	37696	39040	30335	42444	37206	27896	21458	39246	33364	25376	38073	25133	28648	34234	23759	25351	32308	19873	29679	34361	30745	21468	21979	30992	20617	24898	38323	38477	31168	22405	34122	40824	37231	28149	31579	35018	30694	31234	28409	24470	36929	29429	31881	37673	38786	30710	30741	28839	27212	27614	27333	25649	34587	15927	33302	23818	28729	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	1452	632	612	702	1299	474	836	760	849	617	639	1214	6757	788	1491	524	687	1249	711	606	340	2547	230	626	472	913	502	324	446	683	730	563	1093	456	3914	344	354	368	252	3548	395	77	484	2381	74	4262	3984	2698	6828	6930	105	944	131	188	162	1169	408	251	376	874	6632	81	316	602	913	652	1762	45	276	3780	738	401	1056	1543	612	1979	515	1571	611	248	191	1805	1139	4583	721	246	342	9075	1025	214	2012	392	114	11445	35	748	908	2060	2559	99	755	762	1034	1168	2980	109	369	271	209	2779	197	Human Diseases; Infectious Diseases; African trypanosomiasis
"Alanine, aspartate and glutamate metabolism"	480248	578208	766925	623752	403636	377104	397265	544188	541615	477547	440736	548711	413825	561078	551705	496424	550193	472195	517386	556849	479180	476278	583826	431595	464687	558471	611547	599342	476568	443188	529502	559210	414393	513773	558674	565686	498390	428839	391784	430430	482632	762613	565538	423004	489700	431727	480203	401200	401101	704052	464403	350401	535421	425890	465226	604458	641845	520466	461151	515507	392878	560086	473998	422105	588125	404109	440889	398975	344296	581535	429497	299936	477833	563147	436687	361851	350118	444774	378299	348962	432648	505781	487208	564455	527061	493245	595934	586792	492534	430025	401126	480130	411452	573502	593379	475198	625056	512984	543780	466014	445432	429789	451992	490507	427788	727846	505055	250719	409144	428554	374537	"Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism"
Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	24764	27477	35060	29270	20086	19188	20356	25743	26875	23865	21267	26787	26084	27373	26792	24728	26431	24027	25108	26324	20378	25186	26189	21026	22863	27456	28947	29950	22553	22521	25613	26796	20890	24399	28668	26939	22417	22982	18907	23337	21313	36356	26664	21364	22580	31440	26853	21758	25390	38396	21890	17976	27526	19518	21783	29590	28992	23630	21024	24555	30495	25374	22615	21072	28481	20366	23200	18663	17005	29339	21539	15799	23151	27404	21396	21546	17768	22918	18734	17411	19802	26232	23877	30496	25522	22676	27929	36137	24564	20041	21667	23136	18343	35740	27074	23246	29485	26829	28764	21081	22474	21894	22746	23734	23002	37416	23510	12297	19688	24911	17793	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	85198	102917	122136	120746	60579	75046	70112	96259	109878	85524	84575	106664	101277	98513	94916	93708	96901	91889	97792	110469	66317	91629	100761	81710	88047	101824	107673	79146	79696	90019	88957	98159	73780	96423	108998	84978	90798	75505	74916	87893	88193	92521	101477	76614	81473	75685	112869	56366	100983	121814	79023	70418	74348	70373	74855	108673	116648	87804	77990	92645	88765	85974	76670	84433	106827	81566	91011	71093	70158	85576	82280	56213	81091	110313	82446	74303	67674	90619	70775	67187	75708	92201	90633	97736	96054	82304	114113	126996	88125	76911	80801	87861	68157	119294	99142	90843	99509	81076	105744	84155	81477	79760	84690	87725	92204	58655	79779	53646	54378	87302	75006	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	736109	854089	1102977	928435	590664	580088	601773	811780	813009	728902	663409	828287	641643	836195	822342	751366	812929	706036	782060	831029	683044	715625	855323	653287	700671	842673	903851	894264	703978	682946	789242	840073	629717	771027	823055	811776	718531	684290	580107	647101	700802	1080996	842142	624041	701624	781286	734043	579737	616801	1032275	684111	540575	774000	610952	665051	901937	935712	731808	653693	764485	700571	799087	685197	644101	877209	624613	679482	580511	528840	837334	652196	471607	712468	843166	659057	588491	540683	669462	577723	537970	616066	771515	727627	841940	794788	696328	887508	888271	745406	636840	608251	707162	597955	863087	851936	717309	924828	764692	812566	669878	680208	664197	683805	735303	650092	1026141	719075	378969	582374	678579	553416	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
Amino sugar and nucleotide sugar metabolism	628688	758972	959236	815077	509270	493219	524774	691061	697194	618599	573065	736538	574851	738435	726344	640191	721854	612335	680271	734431	633074	620006	747350	568288	610536	722413	773443	754773	632206	573049	672117	711870	536249	680780	692075	747248	671640	590298	538302	570139	628224	912887	735982	560544	674185	617359	622807	499723	559008	906614	632835	461239	632385	554495	599999	792108	818334	657725	594283	680966	565445	736822	636908	548984	776963	531476	582481	546984	449475	760736	555044	396122	615957	746748	578248	493618	456468	585037	489025	464311	556767	659878	638604	723566	682883	622054	801342	785686	623499	598277	532013	642488	551760	769615	829589	617305	826730	665909	714393	627367	589699	557538	592887	647534	567211	755790	641166	335290	525103	561132	532944	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
Aminoacyl-tRNA biosynthesis	630967	729884	939718	774574	506135	499062	517022	680073	697906	616605	558359	697494	528255	716173	689995	640710	703443	601292	662063	698715	570051	605259	690020	553354	600762	712527	766031	790132	605043	584473	675575	700543	533348	645942	672431	699197	582701	589388	485749	542621	569150	945815	701913	516953	600746	705483	620514	503435	506238	851427	585258	463737	701691	515523	558323	774444	775676	606565	542797	642715	622571	696353	590203	545070	742774	532039	583273	492425	453807	701804	563041	410404	608405	705415	561746	513806	460810	570548	490896	459777	511212	661012	623675	699845	670708	581296	738762	723469	636223	534558	520828	598370	505416	704051	721187	605251	776127	669388	690742	568197	583679	570565	579694	618193	542648	955539	621496	320241	511974	575105	465924	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
Aminobenzoate degradation	38888	48122	57771	53315	40305	36214	34686	40746	49989	38915	37887	46937	72434	46576	43973	47669	45506	49318	43284	50720	49974	46607	44688	35511	39348	43903	44881	46146	35009	37158	38598	39395	34992	40014	67318	59995	46345	52648	28399	49706	47146	46609	44168	51075	47695	63101	73867	51321	73594	90281	34473	32689	43828	31191	38044	53712	48258	37641	33919	46136	72844	54719	46745	39759	47563	35118	45682	35267	27087	78952	39429	24051	37402	49424	36811	38779	31621	43355	31133	27446	30153	43264	44867	72353	39838	34355	49223	95197	40102	29674	44241	53970	31314	104214	60346	41394	45807	47183	60501	47176	34728	33941	40580	41353	51313	50599	45422	22889	40619	50818	36379	Metabolism; Xenobiotics Biodegradation and Metabolism; Aminobenzoate degradation
